root_label,time,method,model,cluster,marker_count,overlap_count,overlap_ratio,processed_genes
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,kmeans,svm,1,75,2,0.02666666666666667,"['Xelaev18001106m.g', 'Xelaev18002241m.g', 'Xelaev18016080m.g', 'loc101734526', 'timp.1', 'c1qtnf3', 'cpz', 'fabp3', 'krt12', 'loc100494786', 'Xelaev18045052m.g', 'dcn', 'col1a1', 'loc100491788', 'ppp1r3c.2', 'mmp8', 'Xelaev18009504m.g', 'serpine1', 'tfap2b', 'cfp', 'Xetrov90001378m', 'Xelaev18013239m.g', 'Xelaev18045095m.g', 'Xelaev18047430m.g', 'ptrf', 'Xelaev18016451m.g', 'sema3b', 'col1a2', 'fermt1', 'alcam', 'dcn', 'cotl1', 'il13ra2', 'myl1', 'Xelaev18021648m.g', 'loc100049121', 'apoe', 'prdm1', 'frem2', 'Xetrov90010969m', 'lama4', 'act3', 'loc100494945', 'bcam', 'lgals4', 'cdk1', 'hes2', 'snai2', 'cdo1', 'lama5', 'msc', 'fam83a', 'snai2', 'mmp11', 'Xelaev18045649m.g', 'Xelaev18022166m.g', 'kera', 'ereg', 'cldn6.2', 'bgn', 'Xelaev18045307m.g', 'sall4', 'klf2', 'lyar', 'vat1', 'kpna2', 'igfbp2', 'fn1', 'hbg2', 'col8a1', 'cnn1', 'pik3r3', 'fn1', 'ogn', 'htra4']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,kmeans,xgboost,1,75,2,0.02666666666666667,"['apoe', 'col1a1', 'col1a2', 'lgals4', 'ptx3', 'col14a1', 'krt12', 'fermt1', 'Xelaev18016080m.g', 'col1a2', 'itgb4', 'Xelaev18026267m.g', 'loc100491788', 'col2a1', 'loc100490088', 'ly6g6c', 'igfbp2', 'dcn', 'loc100490088', 'ism1', 'col1a1', 'cldn6.1', 'loc100049121', 'apoc1.like', 'col11a1.like', 'ereg', 'scg3', 'map1a', 'loc100491930', 'c15orf26', 'ttll13', 'pstpip1', 'crabp1', 'map1a.like', 'Xelaev18018009m.g', 'sema7a', 'unnamed.L.3', 'Xelaev18018196m.g', 'loc100490291', 'rora', 'rbpms2', 'fgf7', 'ctsl', 'ctsh', 'duox1', 'slc24a5', 'eln2', 'Xelaev18017960m.g', 'cttn.like.1', 'stab2', 'pah', 'lta4h', 'myf5', 'nts', 'Xelaev18017456m.g', 'epyc', 'kera', 'lyz', 'ptprb', 'phlda1', 'syt1.like', 'nell2', 'pdzrn4', 'cntn1', 'cav1', 'atp6ap1.1', 'il17rel', 'lamb4', 'Xelaev18017743m.g', 'efcab10.like', 'reln', 'fgl2', 'gata3', 'loc100488087', 'lep']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,leiden,logreg,7,75,2,0.02666666666666667,"['Xetrov90018123m', 'Xelaev18016080m.g', 'loc101734526', 'col1a1', 'loc100049121', 'loc100494786', 'col1a2', 'mmp8', 'col1a1', 'emp1', 'loc100494945', 'col1a2', 'Xelaev18009504m.g', 'col4a6.like', 'ly6g6c', 's100z', 'krt2l', 'loc100488540', 'Xelaev18038148m.g', 'timp.1', 'loc100489129', 'Xelaev18013621m.g', 'htra4', 'dcn', 'fn1', 'Xelaev18045307m.g', 'loc100491788', 'Xetrov90001378m', 'areg', 'zswim4', 'Xelaev18013239m.g', 'Xelaev18034626m.g', 'ckm', 'nmral1', 'vit', 'Xelaev18022166m.g', 'pltp', 'dcn', 'ogn', 'npnt', 'col6a1', 'ccl42d', 'loc100494945', 'col14a1', 'ecm2.1', 'plk2', 'frem2', 'Xelaev18024674m.g', 'fabp4', 'col2a1', 'Xetrov90026938m', 'col11a1.like', 'efemp1', 'areg', 'kera', 'Xelaev18041805m.g', 'ccl4', 'clca3p.like', 'ets2', 'atp13a.like', 'tfpi2', 'act3', 'hebp2', 'mmp8', 'Xelaev18038704m.g', 'frem1', 'ankrd37', 'tfap2c', 'suclg2', 'ecm1', 'Xelaev18046818m.g', 'Xetrov90007547m', 'Xelaev18007618m.g', 'Xetrov90011361m', 'enpp2']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,leiden,svm,0,75,1,0.013333333333333334,"['hbg2', 'Xelaev18047453m.g', 'Xelaev18033116m.g', 'myl1', 'krt12', 'tmem38b', 'gstz1', 'col1a2', 'adck3', 'Xelaev18041553m.g', 'Xetrov90018123m', 'rbp4', 'Xelaev18022166m.g', 'has2', 'slurp1l', 'timp.1', 'Xetrov90001378m', 'actc1', 'enc1.2', 'dstn', 'lta4h', 'slit2', 'nmral1', 'cldn6.1', 'serpini1', 'ctgf', 'nr4a2', 'spon2', 'dpepe', 'serpine2', 'Xelaev18036345m.g', 'fip1l1', 'cldn6.1', 'igfbp2', 'Xelaev18045052m.g', 'hbg1', 'Xelaev18027940m.g', 'upk3b', 'ctsb', 'sh3gl2', 'mmp7', 'tpgs1', 'actc1', 'hebp2', 'naglu', 'lgmn', 'fabp4', 'id4', 'aldob', 'Xelaev18047460m.g', 'timp.1', 'ptafr', 'ablim3', 'spon2', 'snap25', 'mmp13', 'tal1', 'col4a6.like', 'rgs1', 'epx', 'gzmh', 'Xelaev18024674m.g', 'loc100170419', 'aldoc', 'des.1', 'Xelaev18003790m.g', 'mcam', 'ube2c', 'loc100493672', 'slc44a5', 'loc100137715', 'Xetrov90011361m', 'Xetrov90018212m', 'hes6.1', 'col3a1']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,leiden,xgboost,24,75,2,0.02666666666666667,"['cfd', 'icam5', 'gngt1', 'gja4', 'ptrf', 'cav1', 'sdpr', 'ptrf', 'krt8', 'nid2', 'hs3st1', 'fam167b', 'krt19', 'ehd2', 'crabp1', 'ctsl', 'rora', 'rbpms2', 'ctsh', 'unnamed.L.3', 'sema7a', 'Xelaev18018009m.g', 'eln2', 'Xelaev18018196m.g', 'duox1', 'Xelaev18017960m.g', 'scg3', 'slc24a5', 'fgf7', 'loc100490291', 'map1a', 'map1a.like', 'ttll13', 'c15orf26', 'loc100491930', 'loc100488087', 'rhcg', 'pstpip1', 'lep', 'cttn.like.1', 'odf3', 'lta4h', 'myf5', 'nts', 'Xelaev18017456m.g', 'epyc', 'kera', 'dcn', 'lyz', 'ptprb', 'phlda1', 'syt1.like', 'nell2', 'pdzrn4', 'cntn1', 'cav1', 'atp6ap1.1', 'il17rel', 'lamb4', 'Xelaev18017743m.g', 'efcab10.like', 'reln', 'fgl2', 'gata3', 'net1', 'acan', 'hapln3', 'Xelaev18018612m.g', 'gnrhr2.nmi', 'pthlh', 'gp1ba', 'gstp1', 'loc101731311', 'Xelaev18019512m.g', 'Xelaev18019546m.g']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,louvain,logreg,20,75,6,0.08,"['cldn6.1', 'apoc1.like', 'krt18', 'bambi', 'Xelaev18017960m.g', 'loc100049121', 'Xelaev18026267m.g', 'frem2.1', 'cldn6.2', 'ereg', 'cldn6.1', 'prdm1', 'loc100490088', 'msx1', 'krt', 'col14a1', 'krt8', 'bmp4', 'ly6g6c', 'bhlha9', 'clca3p.like', 'rdh10', 'twsg1', 'Xetrov90029035m', 'dlx5', 'txn', 'ets2', 'prdm1', 'krt12', 'Xetrov90028350m', 'Xelaev18022166m.g', 'Xelaev18013182m.g', 'lama5', 'dlx2', 'bmp4', 'sdsl', 'nid2', 'loc100127750', 'egfl6', 'cpz', 'dlx3', 'Xelaev18000469m.g', 'bcl11b', 'frem2', 'leng9', 'lrrn4cl', 'loc100489067', 'sdpr', 'vcan', 'c8orf4', 'lama1', 'lgals4', 'mmp3', 'Xetrov90018123m', 'fras1', 'ctsb', 'loc101734526', 'fn1', 'igfbp2', 'ggt1', 'ppp1r15a', 'lmx1b.1', 'Xelaev18005287m.g', 'snai2', 'cpamd8', 'prss36', 'plk2', 'Xelaev18010901m.g', 'enc1.2', 'net1', 'bmp2', 'col1a1', 'cdc42ep3', 'loc100490088', 'Xelaev18007618m.g']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,louvain,svm,20,75,2,0.02666666666666667,"['Xelaev18016080m.g', 'cldn6.1', 'Xelaev18001106m.g', 'loc100494945', 'Xelaev18045052m.g', 'Xelaev18026267m.g', 'apoc1.like', 'Xelaev18002241m.g', 'frem2.1', 'bambi', 'msx1', 'krt', 'Xelaev18017960m.g', 'cldn6.1', 'loc100494945', 'krt8', 'loc100490088', 'loc100049121', 'prdm1', 'loc100127750', 'c1qtnf3', 'krt18', 'Xelaev18047430m.g', 'Xetrov90028350m', 'Xetrov90029035m', 'twsg1', 'clca3p.like', 'lamb4', 'rdh10', 'prdm1', 'sema3b', 'Xelaev18022531m.g', 'htra4', 'ereg', 'col4a5', 'bhlha9', 'Xelaev18047462m.g', 'nid2', 'col3a1', 'myl1', 'sdsl', 'c8orf4', 'dlx5', 'akap12', 'cxcl8', 'cldn6.2', 'tnip2', 'Xelaev18045095m.g', 'hbg2', 'ctsb', 'leng9', 'ets2', 'Xelaev18045307m.g', 'ppp1r15a', 'bmp4', 'ly6g6c', 'Xetrov90028350m', 'col1a2', 'Xelaev18038704m.g', 'Xelaev18010947m.g', 'col14a1', 'psap', 'Xelaev18045303m.g', 'ckm', 'fabp3', 'loc100489067', 'col6a2', 'lyg2', 'Xetrov90018123m', 'ptrf', 'kera', 'col11a1.like', 'lama1', 'suclg2', 'aldob']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,louvain,xgboost,20,75,2,0.02666666666666667,"['apoc1.like', 'frem2.1', 'cldn6.1', 'col6a2', 'cldn6.2', 'col14a1', 'loc100494945', 'krt12', 'Xelaev18016080m.g', 'loc100049121', 'sema3b', 'loc100127750', 'bmp4', 'bambi', 'col1a2', 'dcn', 'loc100490088', 'cldn6.1', 'htra4', 'Xelaev18026267m.g', 'snai2', 'aqp3', 'Xetrov90029035m', 'msx1', 'ablim3', 'Xelaev18047460m.g', 'ereg', 'tgfb1', 'prdm1', 'col1a2', 'dlx3', 'Xelaev18017960m.g', 'cpz', 'col11a1.like', 'tfap2c', 'nid2', 'Xelaev18001106m.g', 'Xelaev18038148m.g', 'inhba', 'scg3', 'fgf7', 'c15orf26', 'ttll13', 'map1a.like', 'unnamed.L.3', 'map1a', 'loc100490291', 'rora', 'Xelaev18018196m.g', 'rbpms2', 'slc24a5', 'ctsl', 'ctsh', 'duox1', 'sema7a', 'eln2', 'Xelaev18018009m.g', 'atp6ap1.1', 'Xelaev18017456m.g', 'epyc', 'kera', 'lyz', 'ptprb', 'phlda1', 'syt1.like', 'nell2', 'pdzrn4', 'cntn1', 'cav1', 'il17rel', 'crabp1', 'lamb4', 'Xelaev18017743m.g', 'efcab10.like', 'reln']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",2,kmeans,logreg,0,75,4,0.05333333333333334,"['col1a1', 'col1a1', 'krt12', 'Xelaev18016080m.g', 'col1a2', 'ly6g6c', 'msmb.3', 'mmp8', 'apoc1.like', 'loc100049121', 'fras1', 'krt16', 'loc100490088', 'frem2.1', 'col2a1', 'krt18', 'loc100490088', 'frem1', 'cldn6.2', 'Xelaev18038148m.g', 'crip1', 'krt16', 'Xetrov90018123m', 'loc101732997', 'col1a2', 'mmp1', 'Xelaev18007618m.g', 'fos', 'Xelaev18026267m.g', 'cyp26a1', 'kera', 'loc100127564', 'Xelaev18017960m.g', 'cdh3', 'Xelaev18000469m.g', 'ereg', 'fam83b', 'Xetrov90028350m', 'Xelaev18009504m.g', 'ripk4', 'fabp7', 'ism2', 'lpar3', 'loc100494945', 'vwa2', 'msx1', 'hmcn1', 'smad4.1', 'c9', 'hes9.1', 'bmp4', 'ogn', 'dlx3', 'pltp', 'mmp19.like.2', 'vwde', 'egr4', 'hes5.1', 'olfm4', 'Xelaev18041402m.g', 'bmp7.1', 'wdr16', 'Xelaev18005287m.g', 'dlx5', 'Xelaev18021482m.g', 'loc100497528', 'Xetrov90010969m', 'enpp2', 'krt19', 'lrrn4cl', 'loc100486268.like', 'ctbs', 'twsg1', 'bcan', 'tmem8a']"
"overlap filter ratio=0, resolution=1.0, kmeans n=10",2,kmeans,svm,6,75,3,0.04,"['fos', 'vcan', 'fn1', 'tuba4a', 'col1a2', 'Xelaev18045096m.g', 'fabp3', 'loc100487364', 'Xelaev18027940m.g', 'col1a1', 'col1a1', 'scoc', 'hey1', 'loc100494786', 'kpna2', 'Xelaev18045052m.g', 'myod1', 'lamb1', 'dio3', 'lta4h', 'Xelaev18018009m.g', 'Xelaev18047460m.g', 'timp.1', 'apoc1.like', 'myf5', 'ptx3', 'gfpt2', 'sfrp2', 'pax7', 'tmem144', 'hmox1', 'ly6g6c', 'hes3.3', 'hes5.2', 'ctsz', 'col2a1', 'socs1', 'has2', 'des.1', 'Xelaev18047452m.g', 'colec12', 'ppap2b', 'MGC75752', 'hsp90aa1.1', 'MGC75752', 'fgfr4', 'serpine1', 'c1qtnf3', 'cxcr4', 'ccnb1.2', 'cpamd8', 'stc1', 'col11a2p1', 'cdk1', 'syne1', 'cxcl8', 'mmp15', 'ccl5', 'hes5.1', 'fkbp1b', 'myod1', 'grem1', 'pthlh', 'rgs1', 'Xelaev18014009m.g', 'Xelaev18039277m.g', 'dab2', 'stmn2', 'rbm24', 'loc100493999.like', 'nid2', 'krt8', 'loc100493999.like', 'loc613063', 'col1a2']"
