time,overlap_count,overlap_ratio
0,1.0686274509803921,0.014248366013071874
1,0.5805243445692884,0.007740324594257161
2,0.7868217054263565,0.010490956072351404
3,0.6337719298245614,0.008450292397660802
all,0.8095238095238095,0.010793650793650775
