root_label,time,method,strong_genes,strong_count
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,kmeans,"['mmp19.like.2', 'Xelaev18045052m.g', 'lum', 'btg2', 'pltp', 'lama1', 'sp9', 'apoe', 'col27a1', 'col2a1', 'loc100490088', 'postn', 'efemp2', 'Xelaev18017960m.g', 'apoc1.like', 'vwa2', 'loc100497390', 'col5a3.like', 'krt12', 'fn1', 'krt16', 'Xelaev18016080m.g', 'ly6g6c', 'msmb.3', 'loc101734526', 'mmp8', 'loc100049121', 'krt5.7', 'frem2.1', 'c2orf40', 'col1a2', 'Xetrov90029035m', 'krt', 'Xelaev18047430m.g', 'loc100127750', 'txn', 'Xelaev18040492m.g', 'Xelaev18003734m.g', 'ctsb', 'serpinf1', 'pck1', 'ftmt', 'Xelaev18040854m.g', 'col3a1', 'Xelaev18045083m.g', 'loc100491930', 'thbs4', 'atf3', 'slc25a5']",49
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,leiden,"['mmp19.like.2', 'lum', 'txn', 'btg2', 'hmcn1', 'lama1', 'pltp', 'Xelaev18005287m.g', 'Xelaev18003734m.g', 'atp1b3', 'fos', 'bmp2', 'sp9', 'col27a1', 'cdc42ep3', 'loc100490088', 'efemp2', 'itgbl1', 'lpar3', 'Xelaev18017960m.g', 'ecm2.1', 'apoc1.like', 'krt12', 'fn1', 'krt16', 'unc5b', 'cldn6.1', 'nid2', 'mmp3', 'loc100488523', 'optc', 'megf6', 'mmp8', 'loc100049121', 'krt5.7', 'frem2.1', 'Xelaev18001105m.g', 'Xetrov90011361m', 'Xetrov90029035m', 'krt', 'msx2', 'vcan', 'Xelaev18026267m.g', 'cldn6.2', 'pnhd', 'bmp5', 'atf3', 'loc100127750', 'Xelaev18040492m.g', 'postn', 'col5a3.like', 'Xelaev18040854m.g', 'Xetrov90018123m', 'loc100494945', 'calm2']",55
"overlap filter ratio=0, resolution=1.0, kmeans n=10",0,louvain,"['mmp19.like.2', 'fgf9', 'Xelaev18045052m.g', 'loc100494515.like', 'pltp', 'lama1', 'msx1', 'Xelaev18007945m.g', 'sp9', 'Xelaev18045649m.g', 'mxra5', 'prss36', 'cpa6', 'loc100490088', 'itgbl1', 'apoc1.like', 'vwa2', 'krt12', 'fbn2', 'fn1', 'hes3.3', 'krt16', 'unc5b', 'cldn6.1', 'nid2', 'mmp3', 'c3', 'loc101732997', 'ly6g6c', 'Xelaev18037602m.g', 'megf6', 'rspo2', 'krt5.7', 'frem2.1', 'Xelaev18036372m.g', 'Xetrov90029035m', 'krt', 'fgf7', 'vcan', 'lpar3', 'bmp5', 'cdc42ep3', 'postn', 'col5a3.like', 'loc101734526', 'loc100049121', 'Xetrov90018123m', 'c2orf40', 'atf3']",49
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,kmeans,"['igfbp2', 'snai2', 'ppp1r3c.2', 'cfp', 'frem2', 'kera', 'lgals4', 'Xelaev18009504m.g', 'mmp11', 'apoe', 'col2a1', 'tfap2b', 'loc100490088', 'lamb4', 'sall4', 'cnn1', 'il13ra2', 'cotl1', 'ereg', 'apoc1.like', 'bcam', 'klf2', 'ogn', 'cpz', 'dcn', 'krt12', 'lama5', 'itgb4', 'Xelaev18016080m.g', 'cldn6.1', 'ly6g6c', 'col11a1.like', 'loc101734526', 'mmp8', 'loc100049121', 'loc100494786', 'sema3b', 'col14a1', 'col1a2', 'prdm1', 'htra4', 'loc100491788', 'cldn6.2', 'alcam', 'fermt1', 'col1a1']",46
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,leiden,"['col4a6.like', 'fabp4', 'kera', 'hebp2', 'timp.1', 'Xelaev18024674m.g', 'dcn', 'Xelaev18022166m.g', 'nmral1', 'Xetrov90018123m', 'col1a2', 'Xetrov90011361m', 'Xetrov90001378m', 'lta4h']",14
"overlap filter ratio=0, resolution=1.0, kmeans n=10",1,louvain,"['bambi', 'lama1', 'msx1', 'snai2', 'bhlha9', 'loc100489067', 'ctsb', 'sdsl', 'loc100490088', 'ppp1r15a', 'dlx3', 'Xelaev18017960m.g', 'ereg', 'apoc1.like', 'ets2', 'rdh10', 'krt12', 'cpz', 'leng9', 'clca3p.like', 'cldn6.1', 'krt8', 'nid2', 'ly6g6c', 'twsg1', 'Xetrov90028350m', 'bmp4', 'loc100049121', 'c8orf4', 'frem2.1', 'col14a1', 'Xetrov90018123m', 'prdm1', 'Xetrov90029035m', 'krt', 'Xelaev18026267m.g', 'krt18', 'cldn6.2', 'dlx5', 'loc100127750', 'Xelaev18001106m.g', 'kera', 'col6a2', 'lamb4', 'Xelaev18016080m.g', 'col11a1.like', 'sema3b', 'col1a2', 'htra4', 'loc100494945']",50
"overlap filter ratio=0, resolution=1.0, kmeans n=10",2,kmeans,"['fos', 'hes5.1', 'col2a1', 'Xelaev18017960m.g', 'apoc1.like', 'loc101732997', 'ly6g6c', 'col1a2', 'fras1', 'col1a1', 'lta4h', 'Xelaev18018009m.g', 'fgfr4', 'stmn2', 'loc613063', 'myf5', 'serpine1']",17
"overlap filter ratio=0, resolution=1.0, kmeans n=10",2,leiden,"['Xelaev18001106m.g', 'hmcn1', 'pltp', 'Xelaev18008610m.g', 'snai2', 'msx1', 'lama1', 'jchain', 'lamb1', 'fgfr4', 'rasd1', 'col27a1', 'loc100490088', 'fam83b', 'dlx3', 'Xelaev18017960m.g', 'apoc1.like', 'vwa2', 'fn1', 'krt16', 'nid2', 'insig1', 'optc', 'bmp4', 'frem2.1', 'prdm1', 'Xetrov90029035m', 'krt', 'fgf7', 'loc100494945', 'fras1', 'hey1', 'Xelaev18026267m.g', 'vcan', 'krt18', 'cldn6.2', 'sp8', 'Xetrov90001378m', 'loc100127750', 'Xelaev18045052m.g', 'msmb.3', 'col1a2']",42
"overlap filter ratio=0, resolution=1.0, kmeans n=10",2,louvain,"['pltp', 'lama1', 'msx1', 'secisbp2l', 'glul.like.1', 'fgfr4', 'loc100489129', 'suclg2', 'MGC75752', 'col2a1', 'dlx3', 'Xelaev18040855m.g', 'Xelaev18017960m.g', 'apoc1.like', 'vwa2', 'klf2', 'loc100494822', 'rbp1', 'nid2', 'mmp3', 'vwde', 'cpamd8', 'frem2.1', 'prdm1', 'ripk4', 'Xetrov90029035m', 'tmem8a', 'loc100494945', 'mmp1', 'Xelaev18026267m.g', 'fkbp1b', 'krt18', 'sema3a']",33
"overlap filter ratio=0, resolution=1.0, kmeans n=10",3,kmeans,"['lum', 'egfl6', 'frem2', 'kera', 'thbs3', 'col6a1', 'apoe', 'loc100490088', 'postn', 'efemp2', 'ccdc3', 'apoc1.like', 'cpz', 'dcn', 'krt12', 'Xelaev18016080m.g', 'cldn6.1', 'fgfbp2', 'ly6g6c', 'sparc', 'msmb.3', 'col11a1.like', 'loc101734526', 'mmp8', 'krt5.7', 'frem2.1', 'col14a1', 'c2orf40', 'col1a2', 'gpx7', 'htra4', 'mdk', 'loc100491788', 'fras1', 'krt18', 'col17a1', 'col1a1', 'snai2', 'tagln2', 'ucma', 'slurp1l', 'Xelaev18017913m.g']",42
"overlap filter ratio=0, resolution=1.0, kmeans n=10",3,leiden,"['lum', 'txn', 'btg2', 'igfbp2', 'egfl6', 'Xelaev18008278m.g', 'ggt1', 'kera', 'nptx1', 'fermt1', 'Xelaev18045649m.g', 'apoe', 'MGC75752', 'postn', 'tagln2', 'ereg', 'apoc1.like', 'bcam', 'ogn', 'dcn', 'azin2', 'cldn6.1', 'ifitm1', 'ly6g6c', 'loc101734526', 'mmp8', 'krt5.7', 'rhou', 'frem2.1', 'tns4', 'mdk', 'msx2', 'cldn6.2', 'ppap2b', 'Xelaev18001106m.g', 'col1a2', 'Xelaev18017913m.g', 'slc25a5']",38
"overlap filter ratio=0, resolution=1.0, kmeans n=10",3,louvain,"['Xelaev18045052m.g', 'lum', 'igfbp2', 'egfl6', 'pltp', 'frem2', 'kera', 'fos', 'timp.1', 'ier2', 'col6a1', 'apoe', 'col2a1', 'loc100490088', 'postn', 'apoc1.like', 'vwa2', 'dcn', 'krt12', 'Xelaev18016080m.g', 'cldn6.1', 'fgfbp2', 'ly6g6c', 'sparc', 'msmb.3', 'col11a1.like', 'loc101734526', 'loc100049121', 'zswim4', 'frem2.1', 'col14a1', 'c2orf40', 'col1a2', 'mdk', 'loc100491788', 'fras1', 'cldn6.2', 'col17a1', 'col1a1', 'txn', 'ets2', 'slurp1l']",42
"overlap filter ratio=0, resolution=1.0, kmeans n=10",all,kmeans,"['lum', 'ptgs1', 'dkk1', 'msx1', 'fos', 'frem1', 'Xelaev18034843m.g', 'thbs3', 'Xelaev18009504m.g', 'fgfbp1', 'sp9', 'loc100490088', 'Xelaev18017960m.g', 'apoc1.like', 'bcam', 'ogn', 'krt12', 'krt16', 'Xelaev18016080m.g', 'npnt', 'Xelaev18010901m.g', 's100a11', 'ly6g6c', 'twsg1', 'msmb.3', 'loc101734526', 'rspo2', 'mmp8', 'krt5.7', 'frem2.1', 'Xetrov90018123m', 'col1a2', 'Xetrov90029035m', 'htra4', 'fgf7', 'loc100486548', 'vcan', 'hey1', 'col1a1', 'rassf6', 'loc100495760', 'vgll1', 'Xelaev18047460m.g', 'pgd', 'tcn2', 'itga2', 'Xelaev18034078m.g', 'hbg2', 'aebp1', 'epgn']",50
"overlap filter ratio=0, resolution=1.0, kmeans n=10",all,leiden,"['vit', 'lum', 'snai2', 'kera', 'bmp2', 'ctgf', 'loc100497848', 'emx2', 'hes2', 'col27a1', 'lamc1', 'prss36', 'Xelaev18041402m.g', 'loc100490088', 'efemp2', 'apoc1.like', 'bcam', 'psap', 'fbn2', 'fn1', 'krt16', 'clca3p.like', 'Xelaev18010901m.g', 'mmp3', 'ly6g6c', 'optc', 'mmp8', 'loc100127750', 'krt5.7', 'frem2.1', 'gad1.2', 'cpamd8', 'col14a1', 'Xetrov90029035m', 'krt', 'loc100494945', 'enpp2', 'loc100486548', 'vcan', 'aebp1', 'cldn6.2', 'pnhd', 'lpar3', 'pthlh', 'txn', 'cdh11', 'lama1', 'fos', 'cpa6', 'postn', 'psca', 'loc100497390', 'krt12', 'Xelaev18016080m.g', 'loc100488697', 'twsg1', 'loc100049121', 'zswim4', 'Xetrov90018123m', 'col1a2']",60
"overlap filter ratio=0, resolution=1.0, kmeans n=10",all,louvain,"['ptgs1', 'angptl2', 'egfl6', 'hmcn1', 'lama1', 'snai2', 'fos', 'epyc', 'bmp2', 'nr4a2', 'ctgf', 'fabp3', 'emx2', 'prss36', 'loc100490088', 'fam83b', 'efemp2', 'ppp1r15a', 'dlx3', 'lep', 'apoc1.like', 'ets2', 'fn1', 'krt16', 'nid2', 'il17rel', 'ly6g6c', 'optc', 'bmp4', 'mmp8', 'krt5.7', 'c8orf4', 'frem2.1', 'cpamd8', 'col14a1', 'Xelaev18001105m.g', 'Xetrov90029035m', 'krt', 'enpp2', 'loc100486548', 'vcan', 'cldn6.2', 'dlx5', 'lpar3', 'pthlh', 'lum', 'txn', 'Xelaev18003734m.g', 'MGC75752', 'col2a1', 'psca', 'Xelaev18016080m.g', 'twsg1', 'loc100127564', 'Xetrov90018123m', 'col1a2']",56
